sutta,character,character_id,presence,role,type,aliases
mn86,mantani,Mantāṇī,mentioned,,,
mn87,Buddha,Buddha,present,teacher,,
mn87,Pasenadi,Pasendi,present,speaker,,
mn87,mallika,Mallikā,present,speaker,,
mn87,nalijangha,Nāḷijaṅgha,present,speaker,,
mn87,vajiri,Vajirakumārī,mentioned,,,
mn87,vasabha,Vāsabhā,mentioned,,,
mn87,vidudabha,Viḍūḍabha,mentioned,,,
mn88,Buddha,Buddha,present,speaker,,
mn88,Ānanda,Ānanda,present,teacher,,
mn88,Pasenadi,Pasendi,present,speaker,,
mn88,sirivaddha,Sirivaḍḍha2,present,speaker,,
mn88,Ajātasattu,Ajātasattu,mentioned,,,
mn89,Buddha,Buddha,present,teacher,,
mn89,Pasenadi,Pasenadi,present,speaker,,
mn89,digha karayana,Dīghakārāyana,present,speaker,,
mn89,isidatta,Isidatta2,mentioned,,,
mn89,purana,Purāṇa2,mentioned,,,
mn90,Buddha,Buddha,present,teacher,,
mn90,Pasenadi,Pasendi,present,speaker,,
mn90,soma,Somā2,present,speaker,,
mn90,sakula,Sakulā2,present,speaker,,
mn90,vidudabha,Viḍūḍabha,present,speaker,,
mn90,Ānanda,Ānanda,present,speaker,,
mn90,sanjaya,Sañjaya2,present,speaker,,
mn91,Buddha,Buddha,present,teacher,,
mn91,brahmayu,Brahmāyu,present,speaker,,
mn91,uttara,Uttara6,present,speaker,,
mn92,Buddha,Buddha,present,teacher,,
mn92,keniya,Keṇiya,present,speaker,,
mn92,sela,Sela,present,speaker,,
mn92,bimbisara,Bimbisāra,mentioned,,,
mn92,Sāriputta,Sāriputta,mentioned,,,
mn92,Māra,Māra,mentioned,,,
mn93,Buddha,Buddha,present,teacher,,
mn93,assalayana,Assalāyana,present,speaker,,
mn93,Brahmā,,mentioned,,,
mn93,devala,,mentioned,speaker,,
mn94,udena,Udena2,present,teacher,,
mn94,ghotamukha,Ghoṭamukha,present,speaker,,
mn94,Buddha,Buddha,mentioned,,,
mn95,Buddha,Buddha,present,teacher,,
mn95,canki,Caṅkī,present,speaker,,
mn95,Pasenadi,Pasendi,mentioned,,,
mn95,bimbisara,Bimbisāra,mentioned,,,
mn95,pokkharasati,Pokkharasāti,mentioned,,,
mn95,kapatika,Kāpathika,present,speaker,,
mn95,atthaka,Aṭṭhaka,mentioned,,,
mn95,vamaka,Vāmaka,mentioned,,,
mn95,vamadeva,Vāmadeva,mentioned,,,
mn95,vessamitta,Vessamitta1,mentioned,,,
mn95,yamadaggi,,mentioned,,,
mn95,angirasa,Aṅgīrasa2,mentioned,,,
mn95,bharadvaja,,mentioned,,,
mn95,vasettha,Vāseṭṭha1,mentioned,,,
mn95,kassapa,Kassapa4,mentioned,,,
mn95,bhagu,Bhagu,mentioned,,,
mn96,Buddha,Buddha,present,teacher,,
mn96,esukari,Esukārī,present,speaker,,
mn97,Buddha,Buddha,present,teacher,,
mn97,Sāriputta,Sāriputta,present,teacher,,
mn97,dhananjani,,present,speaker,,
mn98,Buddha,Buddha,present,teacher,,
mn98,canki,Caṅkī,mentioned,,,
mn98,tarukkha,Tārukkha,mentioned,,,
mn98,pokkharasati,Pokkharasāti,mentioned,,,
mn98,Jāṇussoṇi,Jāṇussoṇi,mentioned,,,
mn98,Todeyya,Todeyya1,mentioned,,,
mn98,vasettha,Vāseṭṭha3,present,speaker,,
mn98,bharadvaja,Bhāradvāja3,present,speaker,,
mn98,Brahmā,,mentioned,,,
mn98,sakka,Sakka,mentioned,,,
mn99,Buddha,Buddha,present,teacher,,
mn99,subha,Subha2,present,speaker,,
