segment_id	reference	text
pli-tv-bu-vb-np2:2.4	pts-vp-en2.14	pts-vp-en
pli-tv-bu-vb-np2:2.22	km3.13	km
pli-tv-bu-vb-np2:2.22	ms1V_1888	ms
pli-tv-bu-vb-np2:2.22	msdiv474	msdiv
pli-tv-bu-vb-np2:2.22	vri87.307	vri
pli-tv-bu-vb-np2:2.28	ms1V_1889	ms
pli-tv-bu-vb-np2:2.28	ndp1.292	ndp
pli-tv-bu-vb-np2:2.28	pts-vp-en2.15	pts-vp-en
pli-tv-bu-vb-np2:2.35	cck2.8	cck
pli-tv-bu-vb-np2:2.35	mc2.7	mc
pli-tv-bu-vb-np2:2.35	ms1V_1890	ms
pli-tv-bu-vb-np2:2.38	km3.14	km
pli-tv-bu-vb-np2:2.38	ms1V_1891	ms
pli-tv-bu-vb-np2:2.39.1	ms1V_1892	ms
pli-tv-bu-vb-np2:2.39.1	msdiv475	msdiv
pli-tv-bu-vb-np2:3.1.1	dr2.8	dr
pli-tv-bu-vb-np2:3.1.1	ms1V_1893	ms
pli-tv-bu-vb-np2:3.1.1	msdiv476	msdiv
pli-tv-bu-vb-np2:3.1.1	pts-cs3.1	pts-cs
pli-tv-bu-vb-np2:3.1.3	bj1.506	bj
pli-tv-bu-vb-np2:3.1.3	csp1ed1.299	csp1ed
pli-tv-bu-vb-np2:3.1.3	csp2ed1.299	csp2ed
pli-tv-bu-vb-np2:3.1.3	ms1V_1894	ms
pli-tv-bu-vb-np2:3.1.5	ms1V_1895	ms
pli-tv-bu-vb-np2:3.1.5	sya2.10	sya
pli-tv-bu-vb-np2:3.1.7	ms1V_1896	ms
pli-tv-bu-vb-np2:3.1.9	km3.15	km
pli-tv-bu-vb-np2:3.1.9	ms1V_1897	ms
pli-tv-bu-vb-np2:3.1.9	pts-vp-pli3.200	pts-vp-pli
pli-tv-bu-vb-np2:3.1.9	vri87.308	vri
pli-tv-bu-vb-np2:3.1.14	pts-vp-en2.16	pts-vp-en
pli-tv-bu-vb-np2:3.2.1	cck2.9	cck
pli-tv-bu-vb-np2:3.2.1	mc2.8	mc
pli-tv-bu-vb-np2:3.2.1	ms1V_1898	ms
pli-tv-bu-vb-np2:3.2.1	msdiv477	msdiv
pli-tv-bu-vb-np2:3.2.1	pts-cs3.2	pts-cs
pli-tv-bu-vb-np2:3.2.8	pts-vp-en2.17	pts-vp-en
pli-tv-bu-vb-np2:3.3.1	dr2.9	dr
pli-tv-bu-vb-np2:3.3.1	km3.16	km
pli-tv-bu-vb-np2:3.3.1	ms1V_1899	ms
pli-tv-bu-vb-np2:3.3.1	msdiv478	msdiv
pli-tv-bu-vb-np2:3.3.1	ndp1.293	ndp
pli-tv-bu-vb-np2:3.3.1	pts-cs3.3	pts-cs
pli-tv-bu-vb-np2:3.3.1	sya2.11	sya
pli-tv-bu-vb-np2:3.3.3	pts-vp-en2.18	pts-vp-en
pli-tv-bu-vb-np2:3.3.4	ms1V_1900	ms
pli-tv-bu-vb-np2:3.3.4	msdiv479	msdiv
pli-tv-bu-vb-np2:3.4.1	cck2.10	cck
pli-tv-bu-vb-np2:3.4.1	csp1ed1.300	csp1ed
pli-tv-bu-vb-np2:3.4.1	csp2ed1.300	csp2ed
pli-tv-bu-vb-np2:3.4.1	dr2.10	dr
pli-tv-bu-vb-np2:3.4.1	km3.17	km
pli-tv-bu-vb-np2:3.4.1	ms1V_1901	ms
pli-tv-bu-vb-np2:3.4.1	msdiv480	msdiv
pli-tv-bu-vb-np2:3.4.1	pts-cs3.4	pts-cs
pli-tv-bu-vb-np2:3.4.3	ms1V_1902	ms
pli-tv-bu-vb-np2:3.4.3	msdiv481	msdiv
pli-tv-bu-vb-np2:3.4.3	pts-vp-en2.19	pts-vp-en
pli-tv-bu-vb-np2:3.4.3	sya2.12	sya
pli-tv-bu-vb-np2:3.4.3	vri87.309	vri
pli-tv-bu-vb-np2:3.5.1	bj1.508	bj
pli-tv-bu-vb-np2:3.5.1	mc2.9	mc
pli-tv-bu-vb-np2:3.5.1	ms1V_1903	ms
pli-tv-bu-vb-np2:3.5.1	msdiv482	msdiv
pli-tv-bu-vb-np2:3.5.1	pts-cs3.5	pts-cs
pli-tv-bu-vb-np2:3.5.1	pts-vp-pli3.201	pts-vp-pli
pli-tv-bu-vb-np2:3.5.3	ms1V_1904	ms
